Viewport width,Screen density,Pageviews
1920,1,3505
1440,2,1341
1366,1,1194
375,2,725
360,3,587
2560,1,461
1536,1.25,418
1680,2,411
1280,1,352
1280,2,344
1440,1,334
1600,1,312
412,2.625,260
360,2,251
1680,1,236
320,2,221
375,3,164
414,3,161
1920,2,146
1280,1.5,128
1024,2,93
1855,1,90
1922,1,83
2560,2,80
1858,1,76
360,4,75
1918,1,64
768,2,63
800,1,59
1024,1,50
412,3.5,50
1853,1,46
1360,1,45
1301,1,38
1880,1,36
1391,1,35
1679,2,35
360,1.5,32
1439,2,30
1536,2.5,27
2048,1,27
2048,1.25,27
1014,1,26
1200,1,24
393,2.75,24
1278,1,23
1326,1,23
1910,1,23
1914,1,22
1916,1,22
1919,1,21
320,1.5,21
1280,1.25,20
2048,2,20
1112,2,19
1281,2,17
2560,1.5,17
958,1,17
1393,2,16
1270,2,15
1276,1,15
1299,1,15
424,2.55,15
1279,2,14
1321,1,14
1366,2,14
1368,2,14
1538,1,14
1904,1,14
1912,1,14
1040,1,13
1522,1,13
1617,1,13
1720,1,13
1842,1,13
1853,2,13
2195,1.75,13
3440,1,13
414,2.609,13
1278,2,12
1396,2,12
1409,2,12
1436,1,12
1440,1.5,12
1863,1,12
1921,1,12
1200,2,11
1264,1,11
1276,2,11
1379,1,11
1438,1,11
1439,1,11
1534,1.25,11
1535,1,11
1600,2,11
1690,1,11
1865,1,11
1264,2,10
1277,2,10
1309,1,10
1324,2,10
1354,1,10
1387,2,10
1435,2,10
1436,2,10
1518,0.9,10
1620,2,10
1869,1,10
587,1,10
834,2,10
1080,1,9
1150,2,9
1270,1,9
1282,1,9
1317,1,9
1319,1,9
1324,1,9
1362,1,9
1415,2,9
1428,1,9
1437,2,9
1438,2,9
1485,1,9
1533,1,9
1615,1,9
1640,1,9
1642,2,9
1679,1,9
600,2,9
960,2,9
1021,2,8
1206,1,8
1277,1,8
1280,2.5,8
1344,1.25,8
1378,1,8
1380,1,8
1434,2,8
1455,1,8
1500,2,8
1518,2,8
1538,1.25,8
1539,2,8
1622,1,8
1658,2,8
1670,1,8
1719,1,8
1813,1,8
1852,1,8
1867,1,8
1915,1,8
1924,1,8
2400,0.8,8
2493,1,8
2557,1,8
408,3.529,8
455,2.375,8
950,1,8
1239,2,7
1266,1,7
1273,1,7
1283,2,7
1294,1,7
1336,1,7
1338,1,7
1350,1,7
1397,2,7
1441,2,7
1521,1,7
1540,1.25,7
1571,1,7
1595,2,7
1707,1.5,7
1713,1,7
1861,1,7
1903,1,7
1911,1,7
1919,2,7
2559,1,7
3840,1,7
571,1,7
968,2,7
1065,1,6
1192,1,6
1194,1,6
1218,2,6
1232,2,6
1235,1,6
1240,1,6
1240,2,6
1245,1,6
1340,1,6
1358,1,6
1365,1,6
1371,1,6
1372,1,6
1382,2,6
1395,2,6
1467,1,6
1481,1,6
1492,1,6
1501,1,6
1507,1,6
1535,1.25,6
1550,1,6
1551,2,6
1563,1,6
1576,1,6
1584,1,6
1625,2,6
1630,2,6
1678,2,6
1681,2,6
1707,1,6
1718,1,6
1733,1,6
1745,1.1,6
1766,1,6
1789,1,6
1873,1,6
1892,1,6
1894,1,6
1896,1,6
1900,1,6
1913,1,6
320,4.5,6
411,1,6
432,2.5,6
800,2,6
831,2,6
840,2,6
957,1,6
1000,1,5
1009,2,5
1015,2,5
1027,1,5
1089,1,5
1113,2,5
1130,2,5
1142,2,5
1199,1,5
1205,1,5
1226,1,5
1234,2,5
1241,1,5
1254,1,5
1256,2,5
1268,1,5
1273,2,5
1275,1,5
1275,2,5
1279,1,5
1303,2,5
1304,1,5
1313,1,5
1315,1,5
1323,1,5
1333,1,5
1334,1,5
1334,2,5
1335,1,5
1347,1,5
1353,2,5
1357,2,5
1364,1,5
1378,2,5
1388,2,5
1389,2,5
1391,2,5
1392,2,5
1403,1,5
1407,2,5
1410,2,5
1417,2,5
1418,2,5
1421,1,5
1422,1,5
1427,1,5
1429,2,5
1430,1,5
1434,1,5
1441,1,5
1442,2,5
1451,1,5
1456,2,5
1459,1,5
1482,1,5
1503,1,5
1504,1,5
1504,2,5
1507,2,5
1516,1,5
1535,2,5
1536,1,5
1563,2,5
1573,2,5
1575,1,5
1592,1,5
1594,1,5
1597,1,5
1606,1,5
1618,1,5
1627,1,5
1629,1,5
1636,2,5
1641,2,5
1644,1,5
1649,1,5
1657,1,5
1676,1,5
1704,1,5
1708,1,5
1726,1,5
1736,2,5
1742,1,5
1760,1,5
1777,1,5
1779,2,5
1787,1,5
1808,1,5
1848,1,5
1854,1,5
1862,1,5
1871,1,5
1875,1,5
1877,1,5
1879,1,5
1886,1,5
1901,1,5
1902,1,5
1916,2,5
2430,2,5
3200,1,5
376,2.875,5
412,1.75,5
424,3.4,5
640,2,5
720,2,5
839,2,5
1008,1,4
1021,1,4
1033,1,4
1058,2,4
1064,1,4
1080,2,4
1085,1,4
1089,2,4
1120,1,4
1150,1,4
1178,1,4
1191,1,4
1196,1,4
1198,1,4
1206,2,4
1212,1,4
1230,2,4
1231,2,4
1233,2,4
1236,2,4
1244,1,4
1248,2,4
1251,1,4
1258,2,4
1260,2,4
1262,1,4
1270,1.5,4
1274,2,4
1279,1.5,4
1284,1,4
1284,1.5,4
1289,1,4
1290,1,4
1291,2,4
1296,2,4
1311,1,4
1322,2,4
1329,1,4
1331,1,4
1333,2,4
1341,1,4
1347,2,4
1353,1,4
1355,1,4
1361,2,4
1363,1,4
1367,1,4
1372,1.4,4
1375,1,4
1384,2,4
1386,1,4
1389,1,4
1393,1,4
1397,1,4
1399,2,4
1403,2,4
1405,2,4
1407,1,4
1409,1,4
1410,1,4
1412,1,4
1413,1,4
1418,1,4
1422,2,4
1424,1,4
1425,2,4
1430,2,4
1431,2,4
1435,1,4
1437,1,4
1442,1,4
1454,1,4
1457,1,4
1463,2,4
1469,2,4
1476,1,4
1490,1,4
1498,1,4
1501,2,4
1505,2,4
1516,2,4
1525,0.896,4
1527,1,4
1529,1,4
1534,1,4
1551,1,4
1554,1,4
1556,1,4
1558,1,4
1569,1,4
1569,2,4
1572,1,4
1574,1,4
1574,2,4
1596,1,4
1613,1,4
1621,1,4
1625,1,4
1626,2,4
1631,2,4
1635,2,4
1638,1,4
1638,2,4
1642,1,4
1658,1,4
1661,1,4
1664,1,4
1666,1,4
1676,2,4
1682,1,4
1682,2,4
1686,1,4
1694,1,4
1696,1,4
1701,1,4
1702,1,4
1703,1,4
1707,2.25,4
1717,1,4
1740,1.104,4
1773,1,4
1785,1,4
1801,0.75,4
1806,1,4
1811,1,4
1814,1,4
1821,1,4
1847,1,4
1881,1,4
1885,1,4
1893,1,4
1899,1,4
1908,1,4
1909,1,4
1917,1,4
1931,1,4
2008,1,4
2009,1,4
2050,1.25,4
2222,1,4
2331,2,4
2439,1,4
2498,1,4
2500,1,4
2556,1,4
2562,1,4
272,1,4
3008,2,4
377,3.825,4
400,1.8,4
424,1.7,4
864,2,4
902,1,4
944,1,4
952,1,4
1016,1,3
1023,1,3
1024,1.25,3
1034,1,3
1045,2,3
1046,1,3
1058,1,3
1088,1,3
1098,1,3
1099,1,3
1121,1,3
1124,2,3
1126,2,3
1133,2,3
1135,1,3
1145,2,3
1153,2,3
1161,1,3
1162,1,3
1165,1,3
1169,1,3
1172,1,3
1173,2,3
1181,2,3
1185,2,3
1191,2,3
1198,2,3
1201,1,3
1209,2,3
1211,2,3
1214,1,3
